source,repetition,cases,test_cases,passed_cases,cpr,epr,ic,bc,correct_ic,correct_bc
run3,run3,12,133,10,0.6666666666666666,0.07518796992481203,0.0625,0.057499999999999996,0.029166666666666664,0.030833333333333334
experiment,rep_1,12,107,35,0.75,0.32710280373831774,0.4008333333333333,0.3333333333333333,0.35250000000000004,0.2775
experiment,rep_2,12,119,37,0.6666666666666666,0.31092436974789917,0.46249999999999997,0.43,0.41,0.37916666666666665
experiment,rep_3,12,97,37,0.8333333333333334,0.38144329896907214,0.4875,0.3983333333333334,0.35083333333333333,0.25666666666666665
official,official_rep_1,12,70,44,1.0,0.6285714285714286,0.5691666666666667,0.4475,0.37083333333333335,0.31416666666666665
official,official_rep_2,12,110,110,1.0,1.0,0.5066666666666667,0.4283333333333333,0.4691666666666667,0.39916666666666667
official,official_rep_3,12,68,54,1.0,0.7941176470588235,0.5758333333333333,0.4716666666666667,0.5425,0.44
official,official_rep_4,12,75,50,1.0,0.6666666666666666,0.6583333333333333,0.5625,0.46249999999999997,0.3725
official,official_rep_5,12,142,86,1.0,0.6056338028169014,0.75,0.63,0.6783333333333333,0.5441666666666667
