environment,group,label,compile_pass_rate,pipeline_epr,raw_junit_epr,instruction_coverage,branch_coverage,correct_instruction_coverage,correct_branch_coverage,test_cases,pipeline_passed,raw_test_cases,raw_passed
original_target_classes,group_a_baseline,A current repair,0.6666666666666666,0.17647058823529413,0.058823529411764705,0.3233333333333333,0.31,0.3233333333333333,0.31,17,3,17,1
original_target_classes,group_b_enhanced,B enhanced repair,1.0,0.6153846153846154,0.38461538461538464,0.43999999999999995,0.43,0.43999999999999995,0.43,13,8,13,5
original_target_classes,group_c_source_grounded,C enhanced + focal source,1.0,0.6666666666666666,0.4666666666666667,0.48666666666666664,0.47666666666666674,0.48666666666666664,0.47666666666666674,15,10,15,7
resources_copied,group_a_baseline,A current repair,0.6666666666666666,0.17647058823529413,0.058823529411764705,0.6566666666666666,0.6166666666666667,0.3233333333333333,0.31,17,3,17,1
resources_copied,group_b_enhanced,B enhanced repair,1.0,0.6153846153846154,0.38461538461538464,0.7733333333333333,0.7366666666666667,0.43999999999999995,0.43,13,8,13,5
resources_copied,group_c_source_grounded,C enhanced + focal source,1.0,0.6666666666666666,0.4666666666666667,0.82,0.7833333333333333,0.48666666666666664,0.47666666666666674,15,10,15,7
